Country,Immigrant,State,Year
Sudan,6,Louisiana,2016
Syria,11,Louisiana,2016
Yemen,172,Louisiana,2016
Egypt,7,Maine,2016
Iran,10,Maine,2016
Iraq,253,Maine,2016
Libya,D,Maine,2016
Mali,D,Maine,2016
Somalia,92,Maine,2016
South Sudan,6,Maine,2016
Sudan,16,Maine,2016
Syria,19,Maine,2016
Yemen,-,Maine,2016
Egypt,168,Maryland,2016
Iran,383,Maryland,2016
Iraq,169,Maryland,2016
Libya,4,Maryland,2016
Mali,49,Maryland,2016
Somalia,10,Maryland,2016
South Sudan,D,Maryland,2016
Sudan,155,Maryland,2016
Syria,65,Maryland,2016
Yemen,34,Maryland,2016
Egypt,382,Massachusetts,2016
Iran,307,Massachusetts,2016
Iraq,505,Massachusetts,2016
Libya,13,Massachusetts,2016
Mali,4,Massachusetts,2016
Somalia,101,Massachusetts,2016
South Sudan,5,Massachusetts,2016
Sudan,67,Massachusetts,2016
Syria,125,Massachusetts,2016
Yemen,9,Massachusetts,2016
Egypt,213,Michigan,2016
Iran,138,Michigan,2016
Iraq,2435,Michigan,2016
Libya,30,Michigan,2016
Mali,7,Michigan,2016
Somalia,66,Michigan,2016
South Sudan,4,Michigan,2016
Sudan,66,Michigan,2016
Syria,313,Michigan,2016
Yemen,3674,Michigan,2016
Egypt,112,Minnesota,2016
Iran,79,Minnesota,2016
Iraq,246,Minnesota,2016
Libya,D,Minnesota,2016
Mali,6,Minnesota,2016
Somalia,2455,Minnesota,2016
South Sudan,10,Minnesota,2016
Sudan,50,Minnesota,2016
Syria,26,Minnesota,2016
Yemen,32,Minnesota,2016
Egypt,25,Mississippi,2016
Iran,8,Mississippi,2016
Iraq,5,Mississippi,2016
Libya,6,Mississippi,2016
Mali,-,Mississippi,2016
Somalia,-,Mississippi,2016
South Sudan,D,Mississippi,2016
Sudan,5,Mississippi,2016
Syria,4,Mississippi,2016
Yemen,207,Mississippi,2016
Egypt,46,Missouri,2016
Iran,76,Missouri,2016
Iraq,212,Missouri,2016
Libya,31,Missouri,2016
Mali,D,Missouri,2016
Somalia,172,Missouri,2016
South Sudan,5,Missouri,2016
Sudan,49,Missouri,2016
Syria,40,Missouri,2016
Yemen,17,Missouri,2016
Egypt,D,Montana,2016
Iran,-,Montana,2016
Iraq,-,Montana,2016
Libya,-,Montana,2016
Mali,-,Montana,2016
Somalia,-,Montana,2016
South Sudan,-,Montana,2016
Sudan,-,Montana,2016
Syria,D,Montana,2016
Yemen,-,Montana,2016
Egypt,21,Nebraska,2016
Iran,21,Nebraska,2016
Iraq,416,Nebraska,2016
Libya,4,Nebraska,2016
Mali,3,Nebraska,2016
Somalia,305,Nebraska,2016
South Sudan,10,Nebraska,2016
Sudan,91,Nebraska,2016
Syria,22,Nebraska,2016
Yemen,-,Nebraska,2016
Egypt,35,Nevada,2016
Iran,156,Nevada,2016
Iraq,81,Nevada,2016
Libya,D,Nevada,2016
Mali,3,Nevada,2016
Somalia,3,Nevada,2016
South Sudan,-,Nevada,2016
Sudan,9,Nevada,2016
Syria,32,Nevada,2016
Yemen,D,Nevada,2016
Egypt,33,New Hampshire,2016
Iran,15,New Hampshire,2016
Iraq,72,New Hampshire,2016
Libya,4,New Hampshire,2016
Mali,-,New Hampshire,2016
Somalia,D,New Hampshire,2016
South Sudan,D,New Hampshire,2016
Sudan,17,New Hampshire,2016
Syria,10,New Hampshire,2016
Yemen,-,New Hampshire,2016
Egypt,2042,New Jersey,2016
Iran,176,New Jersey,2016
Iraq,91,New Jersey,2016
Libya,15,New Jersey,2016
Mali,16,New Jersey,2016
Somalia,D,New Jersey,2016
South Sudan,-,New Jersey,2016
Sudan,65,New Jersey,2016
Syria,238,New Jersey,2016
Yemen,52,New Jersey,2016
Egypt,6,New Mexico,2016
Iran,18,New Mexico,2016
Iraq,71,New Mexico,2016
Libya,-,New Mexico,2016
Mali,-,New Mexico,2016
Somalia,3,New Mexico,2016
South Sudan,-,New Mexico,2016
Sudan,D,New Mexico,2016
Syria,7,New Mexico,2016
Yemen,-,New Mexico,2016
Egypt,1818,New York,2016
Iran,425,New York,2016
Iraq,568,New York,2016
Libya,36,New York,2016
Mali,243,New York,2016
Somalia,223,New York,2016
South Sudan,6,New York,2016
Sudan,237,New York,2016
Syria,214,New York,2016
Yemen,5469,New York,2016
Egypt,227,North Carolina,2016
Iran,167,North Carolina,2016
Iraq,258,North Carolina,2016
Libya,12,North Carolina,2016
Mali,16,North Carolina,2016
Somalia,47,North Carolina,2016
South Sudan,-,North Carolina,2016
Sudan,203,North Carolina,2016
Syria,45,North Carolina,2016
Yemen,338,North Carolina,2016
Egypt,D,North Dakota,2016
Iran,9,North Dakota,2016
Iraq,68,North Dakota,2016
Libya,-,North Dakota,2016
Mali,-,North Dakota,2016
Somalia,164,North Dakota,2016
South Sudan,-,North Dakota,2016
Sudan,15,North Dakota,2016
Syria,4,North Dakota,2016
Yemen,-,North Dakota,2016
Egypt,228,Ohio,2016
Iran,160,Ohio,2016
Iraq,533,Ohio,2016
Libya,33,Ohio,2016
Mali,37,Ohio,2016
Somalia,728,Ohio,2016
South Sudan,D,Ohio,2016
Sudan,88,Ohio,2016
Syria,181,Ohio,2016
Yemen,34,Ohio,2016
Egypt,17,Oklahoma,2016
Iran,100,Oklahoma,2016
Iraq,67,Oklahoma,2016
Libya,13,Oklahoma,2016
Mali,-,Oklahoma,2016
Somalia,D,Oklahoma,2016
South Sudan,4,Oklahoma,2016
Sudan,6,Oklahoma,2016
Syria,21,Oklahoma,2016
Yemen,D,Oklahoma,2016
Egypt,83,Oregon,2016
Iran,120,Oregon,2016
Iraq,241,Oregon,2016
Libya,14,Oregon,2016
Mali,-,Oregon,2016
Somalia,125,Oregon,2016
South Sudan,D,Oregon,2016
Sudan,10,Oregon,2016
Syria,45,Oregon,2016
Yemen,8,Oregon,2016
Egypt,465,Pennsylvania,2016
Iran,148,Pennsylvania,2016
Iraq,330,Pennsylvania,2016
Libya,30,Pennsylvania,2016
Mali,62,Pennsylvania,2016
Somalia,77,Pennsylvania,2016
South Sudan,7,Pennsylvania,2016
Sudan,136,Pennsylvania,2016
Syria,267,Pennsylvania,2016
Yemen,58,Pennsylvania,2016
Egypt,D,Puerto Rico,2016
Iran,D,Puerto Rico,2016
Iraq,4,Puerto Rico,2016
Libya,-,Puerto Rico,2016
Mali,-,Puerto Rico,2016
Somalia,-,Puerto Rico,2016
South Sudan,-,Puerto Rico,2016
Sudan,-,Puerto Rico,2016
Syria,D,Puerto Rico,2016
Yemen,-,Puerto Rico,2016
Egypt,22,Rhode Island,2016
Iran,15,Rhode Island,2016
Iraq,33,Rhode Island,2016
Libya,-,Rhode Island,2016
Mali,D,Rhode Island,2016
Somalia,5,Rhode Island,2016
South Sudan,-,Rhode Island,2016
Sudan,D,Rhode Island,2016
Syria,46,Rhode Island,2016
Yemen,-,Rhode Island,2016
Egypt,73,South Carolina,2016
Iran,36,South Carolina,2016
Iraq,26,South Carolina,2016
Libya,5,South Carolina,2016
Mali,-,South Carolina,2016
Somalia,D,South Carolina,2016
South Sudan,-,South Carolina,2016
Sudan,10,South Carolina,2016
Syria,20,South Carolina,2016
Yemen,22,South Carolina,2016
Egypt,3,South Dakota,2016
Iran,6,South Dakota,2016
Iraq,33,South Dakota,2016
Libya,D,South Dakota,2016
Mali,-,South Dakota,2016
Somalia,33,South Dakota,2016
South Sudan,5,South Dakota,2016
Sudan,14,South Dakota,2016
Syria,D,South Dakota,2016
Yemen,-,South Dakota,2016
Egypt,830,Tennessee,2016
Iran,54,Tennessee,2016
Iraq,445,Tennessee,2016
Libya,3,Tennessee,2016
Mali,4,Tennessee,2016
Somalia,152,Tennessee,2016
South Sudan,5,Tennessee,2016
Sudan,46,Tennessee,2016
Syria,37,Tennessee,2016
Yemen,216,Tennessee,2016
Egypt,690,Texas,2016
Iran,1462,Texas,2016
Iraq,2747,Texas,2016
Libya,64,Texas,2016
Mali,26,Texas,2016
Somalia,264,Texas,2016
South Sudan,6,Texas,2016
Sudan,281,Texas,2016
Syria,303,Texas,2016
Yemen,40,Texas,2016
Egypt,17,Utah,2016
Iran,61,Utah,2016
Iraq,209,Utah,2016
Libya,D,Utah,2016
Mali,5,Utah,2016
Somalia,107,Utah,2016
South Sudan,D,Utah,2016
Sudan,51,Utah,2016
Syria,16,Utah,2016
Yemen,D,Utah,2016
Egypt,4,Vermont,2016
Iran,D,Vermont,2016
Iraq,24,Vermont,2016
Libya,-,Vermont,2016
Mali,-,Vermont,2016
Somalia,16,Vermont,2016
South Sudan,-,Vermont,2016
Sudan,-,Vermont,2016
Syria,D,Vermont,2016
Yemen,5,Vermont,2016
Egypt,574,Virginia,2016
Iran,569,Virginia,2016
Iraq,772,Virginia,2016
Libya,24,Virginia,2016
Mali,7,Virginia,2016
Somalia,50,Virginia,2016
South Sudan,6,Virginia,2016
Sudan,321,Virginia,2016
Syria,112,Virginia,2016
Yemen,101,Virginia,2016
Egypt,170,Washington,2016
Iran,333,Washington,2016
Iraq,744,Washington,2016
Libya,18,Washington,2016
Mali,13,Washington,2016
Somalia,390,Washington,2016
South Sudan,4,Washington,2016
Sudan,61,Washington,2016
Syria,55,Washington,2016
Yemen,51,Washington,2016
Egypt,15,West Virginia,2016
Iran,24,West Virginia,2016
Iraq,12,West Virginia,2016
Libya,7,West Virginia,2016
Mali,-,West Virginia,2016
Somalia,-,West Virginia,2016
South Sudan,-,West Virginia,2016
Sudan,-,West Virginia,2016
Syria,23,West Virginia,2016
Yemen,11,West Virginia,2016
Egypt,31,Wisconsin,2016
Iran,54,Wisconsin,2016
Iraq,193,Wisconsin,2016
Libya,7,Wisconsin,2016
Mali,4,Wisconsin,2016
Somalia,195,Wisconsin,2016
South Sudan,-,Wisconsin,2016
Sudan,26,Wisconsin,2016
Syria,37,Wisconsin,2016
Yemen,4,Wisconsin,2016
Egypt,-,Wyoming,2016
Iran,4,Wyoming,2016
Iraq,D,Wyoming,2016
Libya,-,Wyoming,2016
Mali,-,Wyoming,2016
Somalia,-,Wyoming,2016
South Sudan,-,Wyoming,2016
Sudan,-,Wyoming,2016
Syria,-,Wyoming,2016
Yemen,D,Wyoming,2016
