Country,Immigrant,State,Year
Egypt,24,Alabama,2012
Iran,26,Alabama,2012
Iraq,56,Alabama,2012
Libya,-,Alabama,2012
Mali,-,Alabama,2012
Somalia,3,Alabama,2012
South Sudan,-,Alabama,2012
Sudan,23,Alabama,2012
Syria,15,Alabama,2012
Yemen,25,Alabama,2012
Egypt,D,Alaska,2012
Iran,4,Alaska,2012
Iraq,9,Alaska,2012
Libya,-,Alaska,2012
Mali,D,Alaska,2012
Somalia,10,Alaska,2012
South Sudan,-,Alaska,2012
Sudan,4,Alaska,2012
Syria,D,Alaska,2012
Yemen,-,Alaska,2012
Egypt,48,Arizona,2012
Iran,223,Arizona,2012
Iraq,929,Arizona,2012
Libya,D,Arizona,2012
Mali,4,Arizona,2012
Somalia,105,Arizona,2012
South Sudan,-,Arizona,2012
Sudan,59,Arizona,2012
Syria,64,Arizona,2012
Yemen,10,Arizona,2012
Egypt,4,Arkansas,2012
Iran,13,Arkansas,2012
Iraq,14,Arkansas,2012
Libya,-,Arkansas,2012
Mali,D,Arkansas,2012
Somalia,-,Arkansas,2012
South Sudan,D,Arkansas,2012
Sudan,-,Arkansas,2012
Syria,8,Arkansas,2012
Yemen,7,Arkansas,2012
Egypt,1328,California,2012
Iran,6591,California,2012
Iraq,3926,California,2012
Libya,47,California,2012
Mali,12,California,2012
Somalia,150,California,2012
South Sudan,D,California,2012
Sudan,121,California,2012
Syria,813,California,2012
Yemen,359,California,2012
Egypt,24,Colorado,2012
Iran,105,Colorado,2012
Iraq,301,Colorado,2012
Libya,18,Colorado,2012
Mali,31,Colorado,2012
Somalia,280,Colorado,2012
South Sudan,-,Colorado,2012
Sudan,89,Colorado,2012
Syria,23,Colorado,2012
Yemen,21,Colorado,2012
Egypt,106,Connecticut,2012
Iran,62,Connecticut,2012
Iraq,131,Connecticut,2012
Libya,9,Connecticut,2012
Mali,D,Connecticut,2012
Somalia,10,Connecticut,2012
South Sudan,-,Connecticut,2012
Sudan,21,Connecticut,2012
Syria,21,Connecticut,2012
Yemen,17,Connecticut,2012
Egypt,37,Delaware,2012
Iran,D,Delaware,2012
Iraq,6,Delaware,2012
Libya,7,Delaware,2012
Mali,-,Delaware,2012
Somalia,-,Delaware,2012
South Sudan,-,Delaware,2012
Sudan,D,Delaware,2012
Syria,3,Delaware,2012
Yemen,10,Delaware,2012
Egypt,15,District of Columbia,2012
Iran,40,District of Columbia,2012
Iraq,21,District of Columbia,2012
Libya,D,District of Columbia,2012
Mali,D,District of Columbia,2012
Somalia,D,District of Columbia,2012
South Sudan,-,District of Columbia,2012
Sudan,11,District of Columbia,2012
Syria,4,District of Columbia,2012
Yemen,D,District of Columbia,2012
Egypt,373,Florida,2012
Iran,360,Florida,2012
Iraq,402,Florida,2012
Libya,15,Florida,2012
Mali,4,Florida,2012
Somalia,4,Florida,2012
South Sudan,-,Florida,2012
Sudan,57,Florida,2012
Syria,197,Florida,2012
Yemen,6,Florida,2012
Egypt,109,Georgia,2012
Iran,311,Georgia,2012
Iraq,322,Georgia,2012
Libya,5,Georgia,2012
Mali,22,Georgia,2012
Somalia,70,Georgia,2012
South Sudan,-,Georgia,2012
Sudan,62,Georgia,2012
Syria,35,Georgia,2012
Yemen,14,Georgia,2012
Egypt,10,Hawaii,2012
Iran,8,Hawaii,2012
Iraq,D,Hawaii,2012
Libya,-,Hawaii,2012
Mali,D,Hawaii,2012
Somalia,D,Hawaii,2012
South Sudan,-,Hawaii,2012
Sudan,-,Hawaii,2012
Syria,-,Hawaii,2012
Yemen,-,Hawaii,2012
Egypt,-,Idaho,2012
Iran,25,Idaho,2012
Iraq,129,Idaho,2012
Libya,-,Idaho,2012
Mali,-,Idaho,2012
Somalia,13,Idaho,2012
South Sudan,-,Idaho,2012
Sudan,4,Idaho,2012
Syria,3,Idaho,2012
Yemen,-,Idaho,2012
Egypt,224,Illinois,2012
Iran,268,Illinois,2012
Iraq,1180,Illinois,2012
Libya,9,Illinois,2012
Mali,8,Illinois,2012
Somalia,62,Illinois,2012
South Sudan,D,Illinois,2012
Sudan,96,Illinois,2012
Syria,298,Illinois,2012
Yemen,77,Illinois,2012
Egypt,65,Indiana,2012
Iran,51,Indiana,2012
Iraq,132,Indiana,2012
Libya,4,Indiana,2012
Mali,7,Indiana,2012
Somalia,19,Indiana,2012
South Sudan,-,Indiana,2012
Sudan,38,Indiana,2012
Syria,17,Indiana,2012
Yemen,15,Indiana,2012
Egypt,17,Iowa,2012
Iran,23,Iowa,2012
Iraq,104,Iowa,2012
Libya,D,Iowa,2012
Mali,4,Iowa,2012
Somalia,67,Iowa,2012
South Sudan,D,Iowa,2012
Sudan,87,Iowa,2012
Syria,5,Iowa,2012
Yemen,4,Iowa,2012
Egypt,20,Kansas,2012
Iran,42,Kansas,2012
Iraq,51,Kansas,2012
Libya,D,Kansas,2012
Mali,D,Kansas,2012
Somalia,94,Kansas,2012
South Sudan,-,Kansas,2012
Sudan,5,Kansas,2012
Syria,19,Kansas,2012
Yemen,D,Kansas,2012
Egypt,25,Kentucky,2012
Iran,54,Kentucky,2012
Iraq,349,Kentucky,2012
Libya,D,Kentucky,2012
Mali,5,Kentucky,2012
Somalia,109,Kentucky,2012
South Sudan,-,Kentucky,2012
Sudan,15,Kentucky,2012
Syria,18,Kentucky,2012
Yemen,5,Kentucky,2012
Egypt,48,Louisiana,2012
Iran,40,Louisiana,2012
Iraq,80,Louisiana,2012
Libya,3,Louisiana,2012
Mali,4,Louisiana,2012
Somalia,5,Louisiana,2012
South Sudan,-,Louisiana,2012
Sudan,D,Louisiana,2012
Syria,8,Louisiana,2012
Yemen,37,Louisiana,2012
Egypt,3,Maine,2012
Iran,7,Maine,2012
Iraq,146,Maine,2012
Libya,-,Maine,2012
Mali,D,Maine,2012
Somalia,167,Maine,2012
South Sudan,-,Maine,2012
Sudan,27,Maine,2012
Syria,6,Maine,2012
Yemen,5,Maine,2012
Egypt,149,Maryland,2012
Iran,451,Maryland,2012
Iraq,233,Maryland,2012
Libya,6,Maryland,2012
Mali,37,Maryland,2012
Somalia,10,Maryland,2012
South Sudan,D,Maryland,2012
Sudan,75,Maryland,2012
Syria,24,Maryland,2012
Yemen,12,Maryland,2012
Egypt,293,Massachusetts,2012
Iran,231,Massachusetts,2012
Iraq,624,Massachusetts,2012
Libya,6,Massachusetts,2012
Mali,5,Massachusetts,2012
Somalia,160,Massachusetts,2012
South Sudan,-,Massachusetts,2012
Sudan,43,Massachusetts,2012
Syria,80,Massachusetts,2012
Yemen,4,Massachusetts,2012
Egypt,137,Michigan,2012
Iran,123,Michigan,2012
Iraq,3007,Michigan,2012
Libya,10,Michigan,2012
Mali,10,Michigan,2012
Somalia,45,Michigan,2012
South Sudan,-,Michigan,2012
Sudan,61,Michigan,2012
Syria,219,Michigan,2012
Yemen,496,Michigan,2012
Egypt,87,Minnesota,2012
Iran,56,Minnesota,2012
Iraq,240,Minnesota,2012
Libya,7,Minnesota,2012
