Country,Immigrant,State,Year
Egypt,15,Alabama,2011
Iran,41,Alabama,2011
Iraq,59,Alabama,2011
Libya,3,Alabama,2011
Mali,-,Alabama,2011
Somalia,D,Alabama,2011
Sudan,14,Alabama,2011
Syria,5,Alabama,2011
Yemen,28,Alabama,2011
Egypt,D,Alaska,2011
Iran,7,Alaska,2011
Iraq,8,Alaska,2011
Libya,-,Alaska,2011
Mali,-,Alaska,2011
Somalia,14,Alaska,2011
Sudan,15,Alaska,2011
Syria,D,Alaska,2011
Yemen,-,Alaska,2011
Egypt,49,Arizona,2011
Iran,289,Arizona,2011
Iraq,1294,Arizona,2011
Libya,5,Arizona,2011
Mali,6,Arizona,2011
Somalia,145,Arizona,2011
Sudan,76,Arizona,2011
Syria,62,Arizona,2011
Yemen,D,Arizona,2011
Egypt,12,Arkansas,2011
Iran,16,Arkansas,2011
Iraq,30,Arkansas,2011
Libya,-,Arkansas,2011
Mali,-,Arkansas,2011
Somalia,-,Arkansas,2011
Sudan,D,Arkansas,2011
Syria,12,Arkansas,2011
Yemen,9,Arkansas,2011
Egypt,1204,California,2011
Iran,8164,California,2011
Iraq,5226,California,2011
Libya,32,California,2011
Mali,14,California,2011
Somalia,157,California,2011
Sudan,157,California,2011
Syria,773,California,2011
Yemen,543,California,2011
Egypt,28,Colorado,2011
Iran,125,Colorado,2011
Iraq,220,Colorado,2011
Libya,31,Colorado,2011
Mali,16,Colorado,2011
Somalia,218,Colorado,2011
Sudan,99,Colorado,2011
Syria,8,Colorado,2011
Yemen,D,Colorado,2011
Egypt,73,Connecticut,2011
Iran,53,Connecticut,2011
Iraq,121,Connecticut,2011
Libya,D,Connecticut,2011
Mali,4,Connecticut,2011
Somalia,12,Connecticut,2011
Sudan,32,Connecticut,2011
Syria,64,Connecticut,2011
Yemen,28,Connecticut,2011
Egypt,46,Delaware,2011
Iran,11,Delaware,2011
Iraq,D,Delaware,2011
Libya,5,Delaware,2011
Mali,D,Delaware,2011
Somalia,-,Delaware,2011
Sudan,3,Delaware,2011
Syria,3,Delaware,2011
Yemen,6,Delaware,2011
Egypt,16,District of Columbia,2011
Iran,43,District of Columbia,2011
Iraq,14,District of Columbia,2011
Libya,D,District of Columbia,2011
Mali,6,District of Columbia,2011
Somalia,D,District of Columbia,2011
Sudan,12,District of Columbia,2011
Syria,D,District of Columbia,2011
Yemen,-,District of Columbia,2011
Egypt,337,Florida,2011
Iran,386,Florida,2011
Iraq,376,Florida,2011
Libya,26,Florida,2011
Mali,D,Florida,2011
Somalia,6,Florida,2011
Sudan,35,Florida,2011
Syria,163,Florida,2011
Yemen,10,Florida,2011
Egypt,67,Georgia,2011
Iran,321,Georgia,2011
Iraq,342,Georgia,2011
Libya,13,Georgia,2011
Mali,23,Georgia,2011
Somalia,80,Georgia,2011
Sudan,97,Georgia,2011
Syria,30,Georgia,2011
Yemen,5,Georgia,2011
Egypt,D,Hawaii,2011
Iran,5,Hawaii,2011
Iraq,7,Hawaii,2011
Libya,-,Hawaii,2011
Mali,-,Hawaii,2011
Somalia,-,Hawaii,2011
Sudan,-,Hawaii,2011
Syria,D,Hawaii,2011
Yemen,-,Hawaii,2011
Egypt,D,Idaho,2011
Iran,34,Idaho,2011
Iraq,192,Idaho,2011
Libya,-,Idaho,2011
Mali,D,Idaho,2011
Somalia,15,Idaho,2011
Sudan,8,Idaho,2011
Syria,4,Idaho,2011
Yemen,3,Idaho,2011
Egypt,147,Illinois,2011
Iran,289,Illinois,2011
Iraq,1297,Illinois,2011
Libya,10,Illinois,2011
Mali,21,Illinois,2011
Somalia,55,Illinois,2011
Sudan,70,Illinois,2011
Syria,273,Illinois,2011
Yemen,108,Illinois,2011
Egypt,57,Indiana,2011
Iran,43,Indiana,2011
Iraq,75,Indiana,2011
Libya,5,Indiana,2011
Mali,10,Indiana,2011
Somalia,7,Indiana,2011
Sudan,21,Indiana,2011
Syria,15,Indiana,2011
Yemen,51,Indiana,2011
Egypt,20,Iowa,2011
Iran,19,Iowa,2011
Iraq,138,Iowa,2011
Libya,D,Iowa,2011
Mali,6,Iowa,2011
Somalia,57,Iowa,2011
Sudan,94,Iowa,2011
Syria,15,Iowa,2011
Yemen,3,Iowa,2011
Egypt,12,Kansas,2011
Iran,47,Kansas,2011
Iraq,61,Kansas,2011
Libya,-,Kansas,2011
Mali,-,Kansas,2011
Somalia,54,Kansas,2011
Sudan,14,Kansas,2011
Syria,4,Kansas,2011
Yemen,-,Kansas,2011
Egypt,26,Kentucky,2011
Iran,57,Kentucky,2011
Iraq,352,Kentucky,2011
Libya,3,Kentucky,2011
Mali,4,Kentucky,2011
Somalia,64,Kentucky,2011
Sudan,38,Kentucky,2011
Syria,21,Kentucky,2011
Yemen,D,Kentucky,2011
Egypt,35,Louisiana,2011
Iran,27,Louisiana,2011
Iraq,80,Louisiana,2011
Libya,8,Louisiana,2011
Mali,3,Louisiana,2011
Somalia,-,Louisiana,2011
Sudan,7,Louisiana,2011
Syria,7,Louisiana,2011
Yemen,24,Louisiana,2011
Egypt,12,Maine,2011
Iran,19,Maine,2011
Iraq,136,Maine,2011
Libya,D,Maine,2011
Mali,-,Maine,2011
Somalia,118,Maine,2011
Sudan,21,Maine,2011
Syria,10,Maine,2011
Yemen,D,Maine,2011
Egypt,98,Maryland,2011
Iran,496,Maryland,2011
Iraq,221,Maryland,2011
Libya,6,Maryland,2011
Mali,74,Maryland,2011
Somalia,17,Maryland,2011
Sudan,96,Maryland,2011
Syria,40,Maryland,2011
Yemen,4,Maryland,2011
Egypt,285,Massachusetts,2011
Iran,199,Massachusetts,2011
Iraq,563,Massachusetts,2011
Libya,8,Massachusetts,2011
Mali,8,Massachusetts,2011
Somalia,110,Massachusetts,2011
Sudan,61,Massachusetts,2011
Syria,101,Massachusetts,2011
Yemen,D,Massachusetts,2011
Egypt,120,Michigan,2011
Iran,135,Michigan,2011
Iraq,3326,Michigan,2011
Libya,14,Michigan,2011
Mali,12,Michigan,2011
Somalia,42,Michigan,2011
Sudan,64,Michigan,2011
Syria,163,Michigan,2011
Yemen,632,Michigan,2011
Egypt,86,Minnesota,2011
Iran,71,Minnesota,2011
Iraq,216,Minnesota,2011
Libya,7,Minnesota,2011
Mali,4,Minnesota,2011
Somalia,1157,Minnesota,2011
Sudan,88,Minnesota,2011
Syria,18,Minnesota,2011
Yemen,30,Minnesota,2011
Egypt,7,Mississippi,2011
Iran,8,Mississippi,2011
Iraq,5,Mississippi,2011
Libya,-,Mississippi,2011
Mali,-,Mississippi,2011
Somalia,-,Mississippi,2011
Sudan,3,Mississippi,2011
Syria,3,Mississippi,2011
Yemen,50,Mississippi,2011
Egypt,29,Missouri,2011
Iran,63,Missouri,2011
Iraq,349,Missouri,2011
Libya,9,Missouri,2011
Mali,-,Missouri,2011
Somalia,130,Missouri,2011
Sudan,50,Missouri,2011
Syria,23,Missouri,2011
Yemen,5,Missouri,2011
Egypt,D,Montana,2011
Iran,D,Montana,2011
Iraq,5,Montana,2011
Libya,-,Montana,2011
Mali,-,Montana,2011
Somalia,-,Montana,2011
Sudan,-,Montana,2011
Syria,-,Montana,2011
Yemen,-,Montana,2011
Egypt,9,Nebraska,2011
Iran,18,Nebraska,2011
Iraq,106,Nebraska,2011
Libya,D,Nebraska,2011
Mali,-,Nebraska,2011
Somalia,239,Nebraska,2011
Sudan,155,Nebraska,2011
Syria,6,Nebraska,2011
Yemen,D,Nebraska,2011
Egypt,13,Nevada,2011
Iran,105,Nevada,2011
Iraq,102,Nevada,2011
Libya,D,Nevada,2011
Mali,D,Nevada,2011
Somalia,9,Nevada,2011
Sudan,11,Nevada,2011
Syria,8,Nevada,2011
Yemen,-,Nevada,2011
Egypt,19,New Hampshire,2011
Iran,22,New Hampshire,2011
Iraq,84,New Hampshire,2011
Libya,D,New Hampshire,2011
Mali,-,New Hampshire,2011
Somalia,D,New Hampshire,2011
Sudan,22,New Hampshire,2011
Syria,5,New Hampshire,2011
Yemen,-,New Hampshire,2011
Egypt,1382,New Jersey,2011
Iran,175,New Jersey,2011
Iraq,122,New Jersey,2011
Libya,17,New Jersey,2011
Mali,16,New Jersey,2011
Somalia,D,New Jersey,2011
Sudan,42,New Jersey,2011
Syria,150,New Jersey,2011
Yemen,34,New Jersey,2011
Egypt,6,New Mexico,2011
Iran,23,New Mexico,2011
Iraq,85,New Mexico,2011
Libya,-,New Mexico,2011
Mali,-,New Mexico,2011
Somalia,D,New Mexico,2011
Sudan,D,New Mexico,2011
Syria,7,New Mexico,2011
Yemen,10,New Mexico,2011
Egypt,1178,New York,2011
Iran,380,New York,2011
Iraq,667,New York,2011
Libya,14,New York,2011
Mali,230,New York,2011
Somalia,125,New York,2011
Sudan,243,New York,2011
Syria,115,New York,2011
Yemen,1490,New York,2011
Egypt,156,North Carolina,2011
Iran,106,North Carolina,2011
Iraq,246,North Carolina,2011
Libya,4,North Carolina,2011
Mali,14,North Carolina,2011
Somalia,25,North Carolina,2011
Sudan,106,North Carolina,2011
Syria,30,North Carolina,2011
Yemen,90,North Carolina,2011
Egypt,-,North Dakota,2011
Iran,5,North Dakota,2011
Iraq,78,North Dakota,2011
Libya,3,North Dakota,2011
Mali,-,North Dakota,2011
Somalia,33,North Dakota,2011
Sudan,20,North Dakota,2011
Syria,D,North Dakota,2011
Yemen,-,North Dakota,2011
Egypt,194,Ohio,2011
Iran,126,Ohio,2011
Iraq,386,Ohio,2011
Libya,32,Ohio,2011
Mali,17,Ohio,2011
Somalia,409,Ohio,2011
Sudan,43,Ohio,2011
Syria,105,Ohio,2011
Yemen,12,Ohio,2011
Egypt,19,Oklahoma,2011
Iran,91,Oklahoma,2011
Iraq,42,Oklahoma,2011
Libya,9,Oklahoma,2011
Mali,-,Oklahoma,2011
Somalia,-,Oklahoma,2011
Sudan,D,Oklahoma,2011
Syria,22,Oklahoma,2011
Yemen,-,Oklahoma,2011
Egypt,45,Oregon,2011
Iran,88,Oregon,2011
Iraq,217,Oregon,2011
Libya,12,Oregon,2011
Mali,3,Oregon,2011
Somalia,116,Oregon,2011
Sudan,9,Oregon,2011
Syria,19,Oregon,2011
Yemen,5,Oregon,2011
Egypt,355,Pennsylvania,2011
Iran,148,Pennsylvania,2011
Iraq,442,Pennsylvania,2011
Libya,12,Pennsylvania,2011
Mali,63,Pennsylvania,2011
Somalia,45,Pennsylvania,2011
Sudan,132,Pennsylvania,2011
Syria,155,Pennsylvania,2011
Yemen,9,Pennsylvania,2011
Egypt,4,Puerto Rico,2011
Iran,4,Puerto Rico,2011
Iraq,-,Puerto Rico,2011
Libya,-,Puerto Rico,2011
Mali,-,Puerto Rico,2011
Somalia,-,Puerto Rico,2011
Sudan,-,Puerto Rico,2011
Syria,D,Puerto Rico,2011
Yemen,-,Puerto Rico,2011
Egypt,26,Rhode Island,2011
Iran,18,Rhode Island,2011
Iraq,19,Rhode Island,2011
Libya,-,Rhode Island,2011
Mali,9,Rhode Island,2011
Somalia,-,Rhode Island,2011
Sudan,-,Rhode Island,2011
Syria,36,Rhode Island,2011
Yemen,-,Rhode Island,2011
Egypt,36,South Carolina,2011
Iran,29,South Carolina,2011
Iraq,36,South Carolina,2011
Libya,D,South Carolina,2011
Mali,D,South Carolina,2011
Somalia,-,South Carolina,2011
Sudan,6,South Carolina,2011
Syria,8,South Carolina,2011
Yemen,-,South Carolina,2011
Egypt,D,South Dakota,2011
Iran,D,South Dakota,2011
Iraq,36,South Dakota,2011
Libya,-,South Dakota,2011
Mali,-,South Dakota,2011
Somalia,31,South Dakota,2011
Sudan,21,South Dakota,2011
Syria,D,South Dakota,2011
Yemen,D,South Dakota,2011
Egypt,622,Tennessee,2011
Iran,152,Tennessee,2011
Iraq,423,Tennessee,2011
Libya,D,Tennessee,2011
Mali,4,Tennessee,2011
Somalia,119,Tennessee,2011
Sudan,71,Tennessee,2011
Syria,14,Tennessee,2011
Yemen,69,Tennessee,2011
Egypt,344,Texas,2011
Iran,1228,Texas,2011
Iraq,1728,Texas,2011
Libya,25,Texas,2011
Mali,23,Texas,2011
