Country,Immigrant,State,Year
Egypt,18,Alabama,2007
Iran,39,Alabama,2007
Iraq,26,Alabama,2007
Libya,D,Alabama,2007
Mali,-,Alabama,2007
Somalia,-,Alabama,2007
Sudan,12,Alabama,2007
Syria,8,Alabama,2007
Yemen,28,Alabama,2007
Egypt,3,Alaska,2007
Iran,-,Alaska,2007
Iraq,-,Alaska,2007
Libya,-,Alaska,2007
Mali,D,Alaska,2007
Somalia,-,Alaska,2007
Sudan,D,Alaska,2007
Syria,-,Alaska,2007
Yemen,-,Alaska,2007
Egypt,58,Arizona,2007
Iran,153,Arizona,2007
Iraq,126,Arizona,2007
Libya,7,Arizona,2007
Mali,5,Arizona,2007
Somalia,198,Arizona,2007
Sudan,113,Arizona,2007
Syria,51,Arizona,2007
Yemen,19,Arizona,2007
Egypt,16,Arkansas,2007
Iran,8,Arkansas,2007
Iraq,6,Arkansas,2007
Libya,-,Arkansas,2007
Mali,-,Arkansas,2007
Somalia,-,Arkansas,2007
Sudan,D,Arkansas,2007
Syria,6,Arkansas,2007
Yemen,D,Arkansas,2007
Egypt,1495,California,2007
Iran,5252,California,2007
Iraq,764,California,2007
Libya,31,California,2007
Mali,19,California,2007
Somalia,293,California,2007
Sudan,195,California,2007
Syria,673,California,2007
Yemen,258,California,2007
Egypt,21,Colorado,2007
Iran,98,Colorado,2007
Iraq,32,Colorado,2007
Libya,D,Colorado,2007
Mali,17,Colorado,2007
Somalia,97,Colorado,2007
Sudan,110,Colorado,2007
Syria,13,Colorado,2007
Yemen,6,Colorado,2007
Egypt,81,Connecticut,2007
Iran,52,Connecticut,2007
Iraq,11,Connecticut,2007
Libya,D,Connecticut,2007
Mali,-,Connecticut,2007
Somalia,46,Connecticut,2007
Sudan,27,Connecticut,2007
Syria,39,Connecticut,2007
Yemen,30,Connecticut,2007
Egypt,31,Delaware,2007
Iran,10,Delaware,2007
Iraq,6,Delaware,2007
Libya,-,Delaware,2007
Mali,D,Delaware,2007
Somalia,-,Delaware,2007
Sudan,4,Delaware,2007
Syria,-,Delaware,2007
Yemen,D,Delaware,2007
Egypt,23,District of Columbia,2007
Iran,12,District of Columbia,2007
Iraq,13,District of Columbia,2007
Libya,-,District of Columbia,2007
Mali,D,District of Columbia,2007
Somalia,4,District of Columbia,2007
Sudan,8,District of Columbia,2007
Syria,-,District of Columbia,2007
Yemen,D,District of Columbia,2007
Egypt,521,Florida,2007
Iran,344,Florida,2007
Iraq,66,Florida,2007
Libya,11,Florida,2007
Mali,8,Florida,2007
Somalia,19,Florida,2007
Sudan,69,Florida,2007
Syria,171,Florida,2007
Yemen,12,Florida,2007
Egypt,92,Georgia,2007
Iran,267,Georgia,2007
Iraq,39,Georgia,2007
Libya,3,Georgia,2007
Mali,16,Georgia,2007
Somalia,201,Georgia,2007
Sudan,87,Georgia,2007
Syria,23,Georgia,2007
Yemen,23,Georgia,2007
Egypt,5,Hawaii,2007
Iran,D,Hawaii,2007
Iraq,7,Hawaii,2007
Libya,-,Hawaii,2007
Mali,-,Hawaii,2007
Somalia,-,Hawaii,2007
Sudan,-,Hawaii,2007
Syria,-,Hawaii,2007
Yemen,-,Hawaii,2007
Egypt,13,Idaho,2007
Iran,16,Idaho,2007
Iraq,4,Idaho,2007
Libya,D,Idaho,2007
Mali,-,Idaho,2007
