Country,Immigrant,State,Year
Egypt,24,Alabama,2008
Iran,53,Alabama,2008
Iraq,30,Alabama,2008
Libya,-,Alabama,2008
Mali,D,Alabama,2008
Somalia,-,Alabama,2008
Sudan,11,Alabama,2008
Syria,13,Alabama,2008
Yemen,30,Alabama,2008
Egypt,3,Alaska,2008
Iran,10,Alaska,2008
Iraq,D,Alaska,2008
Libya,-,Alaska,2008
Mali,-,Alaska,2008
Somalia,D,Alaska,2008
Sudan,8,Alaska,2008
Syria,-,Alaska,2008
Yemen,-,Alaska,2008
Egypt,66,Arizona,2008
Iran,308,Arizona,2008
Iraq,215,Arizona,2008
Libya,3,Arizona,2008
Mali,3,Arizona,2008
Somalia,378,Arizona,2008
Sudan,169,Arizona,2008
Syria,44,Arizona,2008
Yemen,10,Arizona,2008
Egypt,4,Arkansas,2008
Iran,21,Arkansas,2008
Iraq,10,Arkansas,2008
Libya,-,Arkansas,2008
Mali,-,Arkansas,2008
Somalia,-,Arkansas,2008
Sudan,D,Arkansas,2008
Syria,11,Arkansas,2008
Yemen,D,Arkansas,2008
Egypt,1292,California,2008
Iran,6472,California,2008
Iraq,896,California,2008
Libya,36,California,2008
Mali,10,California,2008
Somalia,498,California,2008
Sudan,175,California,2008
Syria,624,California,2008
Yemen,288,California,2008
Egypt,25,Colorado,2008
Iran,157,Colorado,2008
Iraq,65,Colorado,2008
Libya,10,Colorado,2008
Mali,20,Colorado,2008
Somalia,193,Colorado,2008
Sudan,136,Colorado,2008
Syria,5,Colorado,2008
Yemen,3,Colorado,2008
Egypt,72,Connecticut,2008
Iran,87,Connecticut,2008
Iraq,33,Connecticut,2008
Libya,D,Connecticut,2008
Mali,6,Connecticut,2008
Somalia,43,Connecticut,2008
Sudan,28,Connecticut,2008
Syria,21,Connecticut,2008
Yemen,19,Connecticut,2008
Egypt,26,Delaware,2008
Iran,10,Delaware,2008
Iraq,D,Delaware,2008
Libya,D,Delaware,2008
Mali,D,Delaware,2008
Somalia,D,Delaware,2008
Sudan,D,Delaware,2008
Syria,5,Delaware,2008
Yemen,9,Delaware,2008
Egypt,19,District of Columbia,2008
Iran,27,District of Columbia,2008
Iraq,17,District of Columbia,2008
Libya,D,District of Columbia,2008
Mali,D,District of Columbia,2008
Somalia,3,District of Columbia,2008
Sudan,9,District of Columbia,2008
Syria,4,District of Columbia,2008
Yemen,D,District of Columbia,2008
Egypt,407,Florida,2008
Iran,461,Florida,2008
Iraq,110,Florida,2008
Libya,15,Florida,2008
Mali,7,Florida,2008
Somalia,19,Florida,2008
Sudan,71,Florida,2008
Syria,175,Florida,2008
Yemen,7,Florida,2008
Egypt,108,Georgia,2008
Iran,343,Georgia,2008
Iraq,76,Georgia,2008
Libya,6,Georgia,2008
Mali,29,Georgia,2008
Somalia,257,Georgia,2008
Sudan,97,Georgia,2008
Syria,38,Georgia,2008
Yemen,5,Georgia,2008
Egypt,4,Hawaii,2008
Iran,7,Hawaii,2008
Iraq,D,Hawaii,2008
Libya,-,Hawaii,2008
Mali,-,Hawaii,2008
Somalia,D,Hawaii,2008
Sudan,D,Hawaii,2008
Syria,-,Hawaii,2008
Yemen,-,Hawaii,2008
Egypt,9,Idaho,2008
Iran,28,Idaho,2008
Iraq,7,Idaho,2008
Libya,-,Idaho,2008
Mali,-,Idaho,2008
Somalia,56,Idaho,2008
Sudan,39,Idaho,2008
Syria,-,Idaho,2008
Yemen,-,Idaho,2008
Egypt,202,Illinois,2008
Iran,353,Illinois,2008
Iraq,295,Illinois,2008
Libya,16,Illinois,2008
Mali,6,Illinois,2008
Somalia,174,Illinois,2008
Sudan,116,Illinois,2008
Syria,224,Illinois,2008
Yemen,48,Illinois,2008
Egypt,42,Indiana,2008
Iran,74,Indiana,2008
Iraq,21,Indiana,2008
Libya,D,Indiana,2008
Mali,15,Indiana,2008
Somalia,52,Indiana,2008
Sudan,40,Indiana,2008
Syria,23,Indiana,2008
Yemen,46,Indiana,2008
Egypt,30,Iowa,2008
Iran,34,Iowa,2008
Iraq,8,Iowa,2008
Libya,D,Iowa,2008
Mali,3,Iowa,2008
Somalia,35,Iowa,2008
Sudan,195,Iowa,2008
Syria,11,Iowa,2008
Yemen,D,Iowa,2008
Egypt,22,Kansas,2008
Iran,76,Kansas,2008
Iraq,15,Kansas,2008
Libya,4,Kansas,2008
Mali,-,Kansas,2008
Somalia,75,Kansas,2008
Sudan,14,Kansas,2008
Syria,9,Kansas,2008
Yemen,D,Kansas,2008
Egypt,34,Kentucky,2008
Iran,50,Kentucky,2008
Iraq,44,Kentucky,2008
Libya,6,Kentucky,2008
Mali,D,Kentucky,2008
Somalia,210,Kentucky,2008
Sudan,45,Kentucky,2008
Syria,24,Kentucky,2008
Yemen,D,Kentucky,2008
Egypt,27,Louisiana,2008
Iran,39,Louisiana,2008
Iraq,20,Louisiana,2008
Libya,D,Louisiana,2008
Mali,-,Louisiana,2008
Somalia,4,Louisiana,2008
Sudan,5,Louisiana,2008
Syria,15,Louisiana,2008
Yemen,11,Louisiana,2008
Egypt,18,Maine,2008
Iran,16,Maine,2008
Iraq,14,Maine,2008
Libya,D,Maine,2008
Mali,D,Maine,2008
Somalia,346,Maine,2008
Sudan,69,Maine,2008
Syria,-,Maine,2008
Yemen,-,Maine,2008
Egypt,154,Maryland,2008
Iran,493,Maryland,2008
Iraq,58,Maryland,2008
Libya,8,Maryland,2008
Mali,48,Maryland,2008
Somalia,76,Maryland,2008
Sudan,76,Maryland,2008
Syria,35,Maryland,2008
Yemen,D,Maryland,2008
Egypt,248,Massachusetts,2008
Iran,245,Massachusetts,2008
Iraq,37,Massachusetts,2008
Libya,12,Massachusetts,2008
Mali,D,Massachusetts,2008
Somalia,256,Massachusetts,2008
Sudan,61,Massachusetts,2008
Syria,89,Massachusetts,2008
Yemen,4,Massachusetts,2008
Egypt,209,Michigan,2008
Iran,148,Michigan,2008
Iraq,1348,Michigan,2008
Libya,9,Michigan,2008
Mali,7,Michigan,2008
Somalia,139,Michigan,2008
Sudan,83,Michigan,2008
Syria,209,Michigan,2008
Yemen,575,Michigan,2008
Egypt,105,Minnesota,2008
Iran,87,Minnesota,2008
Iraq,40,Minnesota,2008
Libya,4,Minnesota,2008
Mali,3,Minnesota,2008
Somalia,3372,Minnesota,2008
Sudan,150,Minnesota,2008
Syria,24,Minnesota,2008
Yemen,24,Minnesota,2008
Egypt,12,Mississippi,2008
Iran,17,Mississippi,2008
Iraq,10,Mississippi,2008
Libya,D,Mississippi,2008
Mali,-,Mississippi,2008
Somalia,-,Mississippi,2008
Sudan,5,Mississippi,2008
Syria,5,Mississippi,2008
Yemen,13,Mississippi,2008
Egypt,18,Missouri,2008
Iran,91,Missouri,2008
Iraq,79,Missouri,2008
Libya,4,Missouri,2008
Mali,D,Missouri,2008
Somalia,164,Missouri,2008
Sudan,63,Missouri,2008
Syria,28,Missouri,2008
Yemen,D,Missouri,2008
Egypt,D,Montana,2008
Iran,3,Montana,2008
Iraq,3,Montana,2008
Libya,-,Montana,2008
Mali,-,Montana,2008
Somalia,-,Montana,2008
Sudan,-,Montana,2008
Syria,-,Montana,2008
Yemen,-,Montana,2008
Egypt,38,Nebraska,2008
Iran,16,Nebraska,2008
Iraq,52,Nebraska,2008
Libya,D,Nebraska,2008
Mali,-,Nebraska,2008
Somalia,161,Nebraska,2008
Sudan,257,Nebraska,2008
Syria,18,Nebraska,2008
Yemen,-,Nebraska,2008
Egypt,39,Nevada,2008
Iran,117,Nevada,2008
Iraq,28,Nevada,2008
Libya,D,Nevada,2008
Mali,D,Nevada,2008
Somalia,23,Nevada,2008
Sudan,12,Nevada,2008
Syria,20,Nevada,2008
Yemen,D,Nevada,2008
Egypt,36,New Hampshire,2008
Iran,22,New Hampshire,2008
Iraq,9,New Hampshire,2008
Libya,-,New Hampshire,2008
Mali,-,New Hampshire,2008
Somalia,57,New Hampshire,2008
Sudan,65,New Hampshire,2008
Syria,3,New Hampshire,2008
Yemen,-,New Hampshire,2008
Egypt,1587,New Jersey,2008
Iran,207,New Jersey,2008
Iraq,57,New Jersey,2008
Libya,14,New Jersey,2008
Mali,14,New Jersey,2008
Somalia,5,New Jersey,2008
Sudan,44,New Jersey,2008
Syria,170,New Jersey,2008
Yemen,11,New Jersey,2008
Egypt,7,New Mexico,2008
Iran,29,New Mexico,2008
Iraq,20,New Mexico,2008
Libya,-,New Mexico,2008
Mali,-,New Mexico,2008
Somalia,D,New Mexico,2008
Sudan,D,New Mexico,2008
Syria,6,New Mexico,2008
Yemen,D,New Mexico,2008
Egypt,1378,New York,2008
Iran,520,New York,2008
Iraq,140,New York,2008
Libya,21,New York,2008
Mali,213,New York,2008
Somalia,238,New York,2008
Sudan,222,New York,2008
Syria,157,New York,2008
Yemen,612,New York,2008
Egypt,160,North Carolina,2008
Iran,128,North Carolina,2008
Iraq,63,North Carolina,2008
Libya,4,North Carolina,2008
Mali,10,North Carolina,2008
Somalia,74,North Carolina,2008
Sudan,114,North Carolina,2008
Syria,18,North Carolina,2008
Yemen,22,North Carolina,2008
Egypt,11,North Dakota,2008
Iran,3,North Dakota,2008
Iraq,4,North Dakota,2008
Libya,D,North Dakota,2008
Mali,-,North Dakota,2008
Somalia,89,North Dakota,2008
Sudan,40,North Dakota,2008
Syria,3,North Dakota,2008
Yemen,-,North Dakota,2008
Egypt,161,Ohio,2008
Iran,182,Ohio,2008
Iraq,78,Ohio,2008
Libya,13,Ohio,2008
Mali,15,Ohio,2008
Somalia,1303,Ohio,2008
Sudan,36,Ohio,2008
Syria,129,Ohio,2008
Yemen,10,Ohio,2008
Egypt,16,Oklahoma,2008
Iran,96,Oklahoma,2008
Iraq,18,Oklahoma,2008
Libya,D,Oklahoma,2008
Mali,-,Oklahoma,2008
Somalia,9,Oklahoma,2008
Sudan,5,Oklahoma,2008
Syria,19,Oklahoma,2008
Yemen,-,Oklahoma,2008
Egypt,43,Oregon,2008
Iran,126,Oregon,2008
Iraq,44,Oregon,2008
Libya,3,Oregon,2008
Mali,D,Oregon,2008
Somalia,164,Oregon,2008
Sudan,14,Oregon,2008
Syria,9,Oregon,2008
Yemen,D,Oregon,2008
Egypt,356,Pennsylvania,2008
Iran,145,Pennsylvania,2008
Iraq,85,Pennsylvania,2008
Libya,11,Pennsylvania,2008
Mali,52,Pennsylvania,2008
Somalia,70,Pennsylvania,2008
Sudan,99,Pennsylvania,2008
Syria,137,Pennsylvania,2008
Yemen,13,Pennsylvania,2008
Egypt,D,Puerto Rico,2008
Iran,D,Puerto Rico,2008
Iraq,3,Puerto Rico,2008
Libya,-,Puerto Rico,2008
Mali,-,Puerto Rico,2008
Somalia,-,Puerto Rico,2008
Sudan,-,Puerto Rico,2008
Syria,3,Puerto Rico,2008
Yemen,-,Puerto Rico,2008
Egypt,17,Rhode Island,2008
Iran,10,Rhode Island,2008
Iraq,7,Rhode Island,2008
Libya,D,Rhode Island,2008
Mali,D,Rhode Island,2008
Somalia,D,Rhode Island,2008
Sudan,-,Rhode Island,2008
Syria,18,Rhode Island,2008
Yemen,D,Rhode Island,2008
Egypt,66,South Carolina,2008
Iran,23,South Carolina,2008
Iraq,18,South Carolina,2008
Libya,D,South Carolina,2008
Mali,-,South Carolina,2008
Somalia,9,South Carolina,2008
Sudan,7,South Carolina,2008
Syria,15,South Carolina,2008
Yemen,4,South Carolina,2008
Egypt,D,South Dakota,2008
Iran,-,South Dakota,2008
Iraq,12,South Dakota,2008
Libya,D,South Dakota,2008
Mali,-,South Dakota,2008
Somalia,39,South Dakota,2008
Sudan,59,South Dakota,2008
Syria,3,South Dakota,2008
Yemen,D,South Dakota,2008
Egypt,622,Tennessee,2008
Iran,112,Tennessee,2008
Iraq,118,Tennessee,2008
Libya,D,Tennessee,2008
Mali,D,Tennessee,2008
Somalia,470,Tennessee,2008
Sudan,133,Tennessee,2008
Syria,13,Tennessee,2008
Yemen,38,Tennessee,2008
Egypt,309,Texas,2008
Iran,1215,Texas,2008
Iraq,227,Texas,2008
Libya,22,Texas,2008
Mali,15,Texas,2008
Somalia,339,Texas,2008
Sudan,328,Texas,2008
Syria,134,Texas,2008
Yemen,7,Texas,2008
Egypt,4,Utah,2008
Iran,81,Utah,2008
Iraq,36,Utah,2008
Libya,-,Utah,2008
Mali,D,Utah,2008
Somalia,143,Utah,2008
Sudan,81,Utah,2008
Syria,9,Utah,2008
Yemen,-,Utah,2008
Egypt,8,Vermont,2008
Iran,D,Vermont,2008
Iraq,-,Vermont,2008
Libya,-,Vermont,2008
Mali,D,Vermont,2008
Somalia,48,Vermont,2008
Sudan,14,Vermont,2008
Syria,-,Vermont,2008
Yemen,D,Vermont,2008
Egypt,527,Virginia,2008
Iran,651,Virginia,2008
