Country,Immigrant,State,Year
Egypt,34,Alabama,2015
Iran,45,Alabama,2015
Iraq,30,Alabama,2015
Libya,3,Alabama,2015
Mali,D,Alabama,2015
Somalia,D,Alabama,2015
South Sudan,D,Alabama,2015
Sudan,21,Alabama,2015
Syria,6,Alabama,2015
Yemen,42,Alabama,2015
Egypt,4,Alaska,2015
Iran,3,Alaska,2015
Iraq,3,Alaska,2015
Libya,3,Alaska,2015
Mali,-,Alaska,2015
Somalia,28,Alaska,2015
South Sudan,-,Alaska,2015
Sudan,37,Alaska,2015
Syria,-,Alaska,2015
Yemen,-,Alaska,2015
Egypt,76,Arizona,2015
Iran,219,Arizona,2015
Iraq,1065,Arizona,2015
Libya,25,Arizona,2015
Mali,D,Arizona,2015
Somalia,127,Arizona,2015
South Sudan,3,Arizona,2015
Sudan,125,Arizona,2015
Syria,103,Arizona,2015
Yemen,6,Arizona,2015
Egypt,7,Arkansas,2015
Iran,15,Arkansas,2015
Iraq,19,Arkansas,2015
Libya,D,Arkansas,2015
Mali,-,Arkansas,2015
Somalia,D,Arkansas,2015
South Sudan,D,Arkansas,2015
Sudan,-,Arkansas,2015
Syria,-,Arkansas,2015
Yemen,15,Arkansas,2015
Egypt,2353,California,2015
Iran,6472,California,2015
Iraq,3709,California,2015
Libya,66,California,2015
Mali,4,California,2015
Somalia,93,California,2015
South Sudan,7,California,2015
Sudan,157,California,2015
Syria,1077,California,2015
Yemen,456,California,2015
Egypt,28,Colorado,2015
Iran,127,Colorado,2015
Iraq,419,Colorado,2015
Libya,38,Colorado,2015
Mali,13,Colorado,2015
Somalia,221,Colorado,2015
South Sudan,D,Colorado,2015
Sudan,97,Colorado,2015
Syria,16,Colorado,2015
Yemen,5,Colorado,2015
Egypt,94,Connecticut,2015
Iran,57,Connecticut,2015
Iraq,111,Connecticut,2015
Libya,10,Connecticut,2015
Mali,D,Connecticut,2015
Somalia,7,Connecticut,2015
South Sudan,-,Connecticut,2015
Sudan,48,Connecticut,2015
Syria,56,Connecticut,2015
Yemen,17,Connecticut,2015
Egypt,44,Delaware,2015
Iran,10,Delaware,2015
Iraq,-,Delaware,2015
Libya,D,Delaware,2015
Mali,-,Delaware,2015
Somalia,-,Delaware,2015
South Sudan,-,Delaware,2015
Sudan,4,Delaware,2015
Syria,4,Delaware,2015
Yemen,10,Delaware,2015
Egypt,20,District of Columbia,2015
Iran,27,District of Columbia,2015
Iraq,5,District of Columbia,2015
Libya,-,District of Columbia,2015
Mali,4,District of Columbia,2015
Somalia,D,District of Columbia,2015
South Sudan,D,District of Columbia,2015
Sudan,15,District of Columbia,2015
Syria,9,District of Columbia,2015
Yemen,-,District of Columbia,2015
Egypt,798,Florida,2015
Iran,328,Florida,2015
Iraq,457,Florida,2015
Libya,25,Florida,2015
Mali,D,Florida,2015
Somalia,6,Florida,2015
South Sudan,D,Florida,2015
Sudan,92,Florida,2015
Syria,201,Florida,2015
Yemen,12,Florida,2015
Egypt,100,Georgia,2015
Iran,300,Georgia,2015
Iraq,298,Georgia,2015
Libya,31,Georgia,2015
Mali,16,Georgia,2015
Somalia,104,Georgia,2015
South Sudan,5,Georgia,2015
Sudan,92,Georgia,2015
Syria,47,Georgia,2015
Yemen,13,Georgia,2015
Egypt,7,Hawaii,2015
Iran,6,Hawaii,2015
Iraq,-,Hawaii,2015
Libya,D,Hawaii,2015
Mali,-,Hawaii,2015
Somalia,-,Hawaii,2015
South Sudan,-,Hawaii,2015
Sudan,-,Hawaii,2015
Syria,D,Hawaii,2015
Yemen,-,Hawaii,2015
Egypt,4,Idaho,2015
Iran,32,Idaho,2015
Iraq,179,Idaho,2015
Libya,16,Idaho,2015
Mali,-,Idaho,2015
Somalia,38,Idaho,2015
