Country,Immigrant,State,Year
Egypt,30,Alabama,2006
Iran,48,Alabama,2006
Iraq,6,Alabama,2006
Libya,D,Alabama,2006
Mali,3,Alabama,2006
Somalia,-,Alabama,2006
Sudan,20,Alabama,2006
Syria,14,Alabama,2006
Yemen,14,Alabama,2006
Egypt,-,Alaska,2006
Iran,D,Alaska,2006
Iraq,-,Alaska,2006
Libya,-,Alaska,2006
Mali,D,Alaska,2006
Somalia,-,Alaska,2006
Sudan,-,Alaska,2006
Syria,-,Alaska,2006
Yemen,D,Alaska,2006
Egypt,72,Arizona,2006
Iran,234,Arizona,2006
Iraq,181,Arizona,2006
Libya,5,Arizona,2006
Mali,8,Arizona,2006
Somalia,210,Arizona,2006
Sudan,236,Arizona,2006
Syria,47,Arizona,2006
Yemen,5,Arizona,2006
Egypt,4,Arkansas,2006
Iran,13,Arkansas,2006
Iraq,-,Arkansas,2006
Libya,-,Arkansas,2006
Mali,D,Arkansas,2006
Somalia,-,Arkansas,2006
Sudan,4,Arkansas,2006
Syria,9,Arkansas,2006
Yemen,D,Arkansas,2006
Egypt,1690,California,2006
Iran,7190,California,2006
Iraq,1021,California,2006
Libya,51,California,2006
Mali,10,California,2006
Somalia,550,California,2006
Sudan,309,California,2006
Syria,802,California,2006
Yemen,671,California,2006
Egypt,36,Colorado,2006
Iran,143,Colorado,2006
Iraq,39,Colorado,2006
Libya,6,Colorado,2006
Mali,23,Colorado,2006
Somalia,96,Colorado,2006
Sudan,130,Colorado,2006
Syria,18,Colorado,2006
Yemen,3,Colorado,2006
Egypt,113,Connecticut,2006
Iran,58,Connecticut,2006
Iraq,30,Connecticut,2006
Libya,D,Connecticut,2006
Mali,D,Connecticut,2006
Somalia,31,Connecticut,2006
Sudan,42,Connecticut,2006
Syria,41,Connecticut,2006
Yemen,61,Connecticut,2006
Egypt,39,Delaware,2006
Iran,15,Delaware,2006
Iraq,-,Delaware,2006
Libya,-,Delaware,2006
Mali,D,Delaware,2006
Somalia,D,Delaware,2006
Sudan,3,Delaware,2006
Syria,4,Delaware,2006
Yemen,17,Delaware,2006
Egypt,11,District of Columbia,2006
Iran,13,District of Columbia,2006
Iraq,6,District of Columbia,2006
Libya,3,District of Columbia,2006
Mali,4,District of Columbia,2006
Somalia,6,District of Columbia,2006
Sudan,29,District of Columbia,2006
Syria,10,District of Columbia,2006
Yemen,D,District of Columbia,2006
Egypt,515,Florida,2006
Iran,412,Florida,2006
Iraq,42,Florida,2006
Libya,11,Florida,2006
Mali,D,Florida,2006
Somalia,20,Florida,2006
Sudan,161,Florida,2006
Syria,183,Florida,2006
Yemen,7,Florida,2006
Egypt,115,Georgia,2006
Iran,375,Georgia,2006
Iraq,56,Georgia,2006
Libya,11,Georgia,2006
Mali,34,Georgia,2006
Somalia,385,Georgia,2006
Sudan,198,Georgia,2006
Syria,29,Georgia,2006
Yemen,15,Georgia,2006
Egypt,7,Hawaii,2006
Iran,4,Hawaii,2006
Iraq,D,Hawaii,2006
Libya,D,Hawaii,2006
Mali,-,Hawaii,2006
Somalia,-,Hawaii,2006
Sudan,-,Hawaii,2006
Syria,D,Hawaii,2006
Yemen,-,Hawaii,2006
Egypt,6,Idaho,2006
Iran,22,Idaho,2006
Iraq,D,Idaho,2006
Libya,-,Idaho,2006
Mali,-,Idaho,2006
Somalia,30,Idaho,2006
Sudan,20,Idaho,2006
Syria,D,Idaho,2006
Yemen,D,Idaho,2006
Egypt,235,Illinois,2006
Iran,310,Illinois,2006
Iraq,329,Illinois,2006
Libya,12,Illinois,2006
Mali,7,Illinois,2006
Somalia,144,Illinois,2006
Sudan,143,Illinois,2006
Syria,240,Illinois,2006
Yemen,180,Illinois,2006
Egypt,71,Indiana,2006
Iran,52,Indiana,2006
Iraq,14,Indiana,2006
Libya,D,Indiana,2006
Mali,8,Indiana,2006
Somalia,36,Indiana,2006
Sudan,53,Indiana,2006
Syria,27,Indiana,2006
Yemen,45,Indiana,2006
Egypt,35,Iowa,2006
Iran,12,Iowa,2006
Iraq,5,Iowa,2006
Libya,D,Iowa,2006
Mali,4,Iowa,2006
Somalia,29,Iowa,2006
Sudan,242,Iowa,2006
Syria,7,Iowa,2006
Yemen,3,Iowa,2006
Egypt,14,Kansas,2006
Iran,66,Kansas,2006
Iraq,9,Kansas,2006
Libya,-,Kansas,2006
Mali,-,Kansas,2006
Somalia,21,Kansas,2006
Sudan,38,Kansas,2006
Syria,8,Kansas,2006
Yemen,D,Kansas,2006
Egypt,30,Kentucky,2006
Iran,41,Kentucky,2006
Iraq,35,Kentucky,2006
Libya,6,Kentucky,2006
Mali,3,Kentucky,2006
Somalia,98,Kentucky,2006
Sudan,64,Kentucky,2006
Syria,15,Kentucky,2006
Yemen,-,Kentucky,2006
Egypt,23,Louisiana,2006
Iran,39,Louisiana,2006
Iraq,14,Louisiana,2006
Libya,D,Louisiana,2006
Mali,-,Louisiana,2006
Somalia,D,Louisiana,2006
Sudan,7,Louisiana,2006
Syria,11,Louisiana,2006
Yemen,24,Louisiana,2006
Egypt,20,Maine,2006
Iran,15,Maine,2006
Iraq,D,Maine,2006
Libya,-,Maine,2006
Mali,-,Maine,2006
Somalia,198,Maine,2006
Sudan,122,Maine,2006
Syria,-,Maine,2006
Yemen,D,Maine,2006
Egypt,174,Maryland,2006
Iran,485,Maryland,2006
Iraq,16,Maryland,2006
Libya,4,Maryland,2006
Mali,36,Maryland,2006
Somalia,83,Maryland,2006
Sudan,152,Maryland,2006
Syria,56,Maryland,2006
Yemen,12,Maryland,2006
Egypt,295,Massachusetts,2006
Iran,174,Massachusetts,2006
Iraq,15,Massachusetts,2006
Libya,7,Massachusetts,2006
Mali,D,Massachusetts,2006
Somalia,230,Massachusetts,2006
Sudan,73,Massachusetts,2006
Syria,96,Massachusetts,2006
Yemen,7,Massachusetts,2006
Egypt,192,Michigan,2006
Iran,108,Michigan,2006
Iraq,1541,Michigan,2006
Libya,7,Michigan,2006
Mali,5,Michigan,2006
Somalia,175,Michigan,2006
Sudan,119,Michigan,2006
Syria,160,Michigan,2006
Yemen,1028,Michigan,2006
Egypt,103,Minnesota,2006
