Country,Immigrant,State,Year
Egypt,28,Alabama,2010
Iran,51,Alabama,2010
Iraq,104,Alabama,2010
Libya,D,Alabama,2010
Mali,-,Alabama,2010
Somalia,7,Alabama,2010
Sudan,15,Alabama,2010
Syria,9,Alabama,2010
Yemen,31,Alabama,2010
Egypt,D,Alaska,2010
Iran,3,Alaska,2010
Iraq,D,Alaska,2010
Libya,-,Alaska,2010
Mali,D,Alaska,2010
Somalia,8,Alaska,2010
Sudan,22,Alaska,2010
Syria,D,Alaska,2010
Yemen,-,Alaska,2010
Egypt,62,Arizona,2010
Iran,207,Arizona,2010
Iraq,1221,Arizona,2010
Libya,D,Arizona,2010
Mali,5,Arizona,2010
Somalia,149,Arizona,2010
Sudan,95,Arizona,2010
Syria,49,Arizona,2010
Yemen,15,Arizona,2010
Egypt,8,Arkansas,2010
Iran,14,Arkansas,2010
Iraq,14,Arkansas,2010
Libya,D,Arkansas,2010
Mali,-,Arkansas,2010
Somalia,-,Arkansas,2010
Sudan,D,Arkansas,2010
Syria,9,Arkansas,2010
Yemen,17,Arkansas,2010
Egypt,1253,California,2010
Iran,7840,California,2010
Iraq,4691,California,2010
Libya,51,California,2010
Mali,10,California,2010
Somalia,152,California,2010
Sudan,119,California,2010
Syria,720,California,2010
Yemen,570,California,2010
Egypt,30,Colorado,2010
Iran,113,Colorado,2010
Iraq,323,Colorado,2010
Libya,14,Colorado,2010
Mali,15,Colorado,2010
Somalia,188,Colorado,2010
Sudan,109,Colorado,2010
Syria,12,Colorado,2010
Yemen,5,Colorado,2010
Egypt,65,Connecticut,2010
Iran,78,Connecticut,2010
Iraq,72,Connecticut,2010
Libya,8,Connecticut,2010
Mali,-,Connecticut,2010
Somalia,10,Connecticut,2010
Sudan,35,Connecticut,2010
Syria,26,Connecticut,2010
Yemen,23,Connecticut,2010
Egypt,33,Delaware,2010
Iran,11,Delaware,2010
Iraq,D,Delaware,2010
Libya,D,Delaware,2010
Mali,-,Delaware,2010
Somalia,-,Delaware,2010
Sudan,-,Delaware,2010
Syria,D,Delaware,2010
Yemen,5,Delaware,2010
Egypt,9,District of Columbia,2010
Iran,56,District of Columbia,2010
Iraq,31,District of Columbia,2010
Libya,3,District of Columbia,2010
Mali,5,District of Columbia,2010
Somalia,D,District of Columbia,2010
Sudan,11,District of Columbia,2010
Syria,3,District of Columbia,2010
Yemen,D,District of Columbia,2010
Egypt,381,Florida,2010
Iran,356,Florida,2010
Iraq,325,Florida,2010
Libya,16,Florida,2010
Mali,D,Florida,2010
Somalia,4,Florida,2010
Sudan,57,Florida,2010
Syria,107,Florida,2010
Yemen,4,Florida,2010
Egypt,87,Georgia,2010
Iran,336,Georgia,2010
Iraq,365,Georgia,2010
Libya,10,Georgia,2010
Mali,23,Georgia,2010
Somalia,86,Georgia,2010
Sudan,56,Georgia,2010
Syria,30,Georgia,2010
Yemen,11,Georgia,2010
Egypt,D,Hawaii,2010
Iran,18,Hawaii,2010
Iraq,8,Hawaii,2010
Libya,-,Hawaii,2010
Mali,-,Hawaii,2010
Somalia,-,Hawaii,2010
Sudan,-,Hawaii,2010
Syria,-,Hawaii,2010
Yemen,-,Hawaii,2010
Egypt,4,Idaho,2010
Iran,26,Idaho,2010
Iraq,243,Idaho,2010
Libya,D,Idaho,2010
Mali,-,Idaho,2010
Somalia,20,Idaho,2010
Sudan,4,Idaho,2010
Syria,9,Idaho,2010
Yemen,D,Idaho,2010
Egypt,215,Illinois,2010
Iran,294,Illinois,2010
Iraq,1142,Illinois,2010
Libya,9,Illinois,2010
Mali,3,Illinois,2010
Somalia,69,Illinois,2010
Sudan,81,Illinois,2010
Syria,249,Illinois,2010
Yemen,149,Illinois,2010
Egypt,43,Indiana,2010
Iran,50,Indiana,2010
Iraq,52,Indiana,2010
Libya,D,Indiana,2010
Mali,14,Indiana,2010
Somalia,14,Indiana,2010
Sudan,23,Indiana,2010
Syria,21,Indiana,2010
Yemen,25,Indiana,2010
Egypt,25,Iowa,2010
Iran,9,Iowa,2010
Iraq,121,Iowa,2010
Libya,D,Iowa,2010
Mali,D,Iowa,2010
Somalia,30,Iowa,2010
Sudan,118,Iowa,2010
Syria,12,Iowa,2010
Yemen,D,Iowa,2010
Egypt,17,Kansas,2010
Iran,69,Kansas,2010
Iraq,84,Kansas,2010
Libya,D,Kansas,2010
Mali,D,Kansas,2010
Somalia,73,Kansas,2010
Sudan,5,Kansas,2010
Syria,17,Kansas,2010
Yemen,6,Kansas,2010
Egypt,20,Kentucky,2010
Iran,61,Kentucky,2010
Iraq,261,Kentucky,2010
Libya,3,Kentucky,2010
Mali,D,Kentucky,2010
Somalia,101,Kentucky,2010
Sudan,28,Kentucky,2010
Syria,14,Kentucky,2010
Yemen,-,Kentucky,2010
Egypt,36,Louisiana,2010
Iran,31,Louisiana,2010
Iraq,60,Louisiana,2010
Libya,9,Louisiana,2010
Mali,8,Louisiana,2010
Somalia,5,Louisiana,2010
Sudan,16,Louisiana,2010
Syria,19,Louisiana,2010
Yemen,29,Louisiana,2010
Egypt,D,Maine,2010
Iran,18,Maine,2010
Iraq,88,Maine,2010
Libya,D,Maine,2010
Mali,D,Maine,2010
Somalia,166,Maine,2010
Sudan,24,Maine,2010
Syria,D,Maine,2010
Yemen,D,Maine,2010
