Country,Immigrant,State,Year
Egypt,25,Alabama,2014
Iran,40,Alabama,2014
Iraq,20,Alabama,2014
Libya,D,Alabama,2014
Mali,D,Alabama,2014
Somalia,3,Alabama,2014
South Sudan,-,Alabama,2014
Sudan,20,Alabama,2014
Syria,15,Alabama,2014
Yemen,48,Alabama,2014
Egypt,D,Alaska,2014
Iran,10,Alaska,2014
Iraq,12,Alaska,2014
Libya,-,Alaska,2014
Mali,D,Alaska,2014
Somalia,39,Alaska,2014
South Sudan,D,Alaska,2014
Sudan,20,Alaska,2014
Syria,D,Alaska,2014
Yemen,3,Alaska,2014
Egypt,75,Arizona,2014
Iran,179,Arizona,2014
Iraq,917,Arizona,2014
Libya,28,Arizona,2014
Mali,3,Arizona,2014
Somalia,92,Arizona,2014
South Sudan,6,Arizona,2014
Sudan,123,Arizona,2014
Syria,71,Arizona,2014
Yemen,7,Arizona,2014
Egypt,15,Arkansas,2014
Iran,24,Arkansas,2014
Iraq,6,Arkansas,2014
Libya,D,Arkansas,2014
Mali,D,Arkansas,2014
Somalia,-,Arkansas,2014
South Sudan,-,Arkansas,2014
Sudan,-,Arkansas,2014
Syria,11,Arkansas,2014
Yemen,13,Arkansas,2014
Egypt,2095,California,2014
Iran,5428,California,2014
Iraq,3758,California,2014
Libya,46,California,2014
Mali,14,California,2014
Somalia,142,California,2014
South Sudan,D,California,2014
Sudan,94,California,2014
Syria,943,California,2014
Yemen,545,California,2014
Egypt,35,Colorado,2014
Iran,90,Colorado,2014
Iraq,302,Colorado,2014
Libya,30,Colorado,2014
Mali,5,Colorado,2014
Somalia,188,Colorado,2014
South Sudan,D,Colorado,2014
Sudan,85,Colorado,2014
Syria,12,Colorado,2014
Yemen,-,Colorado,2014
Egypt,71,Connecticut,2014
Iran,72,Connecticut,2014
Iraq,111,Connecticut,2014
Libya,3,Connecticut,2014
Mali,D,Connecticut,2014
Somalia,3,Connecticut,2014
South Sudan,-,Connecticut,2014
Sudan,24,Connecticut,2014
Syria,107,Connecticut,2014
Yemen,21,Connecticut,2014
Egypt,35,Delaware,2014
Iran,14,Delaware,2014
Iraq,-,Delaware,2014
Libya,D,Delaware,2014
Mali,-,Delaware,2014
Somalia,-,Delaware,2014
South Sudan,-,Delaware,2014
Sudan,D,Delaware,2014
Syria,4,Delaware,2014
Yemen,21,Delaware,2014
Egypt,13,District of Columbia,2014
Iran,29,District of Columbia,2014
Iraq,8,District of Columbia,2014
Libya,-,District of Columbia,2014
Mali,5,District of Columbia,2014
Somalia,3,District of Columbia,2014
South Sudan,-,District of Columbia,2014
Sudan,6,District of Columbia,2014
Syria,8,District of Columbia,2014
Yemen,D,District of Columbia,2014
Egypt,886,Florida,2014
Iran,357,Florida,2014
Iraq,478,Florida,2014
Libya,21,Florida,2014
Mali,6,Florida,2014
Somalia,3,Florida,2014
South Sudan,4,Florida,2014
Sudan,73,Florida,2014
Syria,232,Florida,2014
Yemen,12,Florida,2014
Egypt,135,Georgia,2014
Iran,292,Georgia,2014
Iraq,286,Georgia,2014
Libya,17,Georgia,2014
Mali,17,Georgia,2014
Somalia,108,Georgia,2014
South Sudan,-,Georgia,2014
Sudan,99,Georgia,2014
Syria,44,Georgia,2014
Yemen,13,Georgia,2014
Egypt,D,Hawaii,2014
Iran,7,Hawaii,2014
Iraq,D,Hawaii,2014
Libya,-,Hawaii,2014
Mali,D,Hawaii,2014
Somalia,-,Hawaii,2014
South Sudan,-,Hawaii,2014
Sudan,-,Hawaii,2014
Syria,D,Hawaii,2014
Yemen,-,Hawaii,2014
Egypt,7,Idaho,2014
