Country,Immigrant,State,Year
Egypt,23,Alabama,2013
Iran,23,Alabama,2013
Iraq,19,Alabama,2013
Libya,-,Alabama,2013
Mali,D,Alabama,2013
Somalia,D,Alabama,2013
South Sudan,D,Alabama,2013
Sudan,6,Alabama,2013
Syria,D,Alabama,2013
Yemen,13,Alabama,2013
Egypt,D,Alaska,2013
Iran,D,Alaska,2013
Iraq,5,Alaska,2013
Libya,-,Alaska,2013
Mali,-,Alaska,2013
Somalia,7,Alaska,2013
South Sudan,D,Alaska,2013
Sudan,9,Alaska,2013
Syria,-,Alaska,2013
Yemen,-,Alaska,2013
Egypt,44,Arizona,2013
Iran,226,Arizona,2013
Iraq,426,Arizona,2013
Libya,4,Arizona,2013
Mali,6,Arizona,2013
Somalia,202,Arizona,2013
South Sudan,3,Arizona,2013
Sudan,79,Arizona,2013
Syria,36,Arizona,2013
Yemen,D,Arizona,2013
Egypt,12,Arkansas,2013
Iran,10,Arkansas,2013
Iraq,3,Arkansas,2013
Libya,D,Arkansas,2013
Mali,-,Arkansas,2013
Somalia,-,Arkansas,2013
South Sudan,-,Arkansas,2013
Sudan,D,Arkansas,2013
Syria,6,Arkansas,2013
Yemen,D,Arkansas,2013
Egypt,1101,California,2013
Iran,6848,California,2013
Iraq,1764,California,2013
Libya,49,California,2013
Mali,5,California,2013
Somalia,267,California,2013
South Sudan,D,California,2013
Sudan,117,California,2013
Syria,579,California,2013
Yemen,225,California,2013
Egypt,12,Colorado,2013
Iran,83,Colorado,2013
Iraq,54,Colorado,2013
Libya,3,Colorado,2013
Mali,4,Colorado,2013
Somalia,157,Colorado,2013
South Sudan,-,Colorado,2013
Sudan,45,Colorado,2013
Syria,8,Colorado,2013
Yemen,D,Colorado,2013
Egypt,40,Connecticut,2013
Iran,46,Connecticut,2013
Iraq,35,Connecticut,2013
Libya,D,Connecticut,2013
Mali,D,Connecticut,2013
Somalia,12,Connecticut,2013
South Sudan,D,Connecticut,2013
Sudan,21,Connecticut,2013
Syria,32,Connecticut,2013
Yemen,20,Connecticut,2013
Egypt,15,Delaware,2013
Iran,7,Delaware,2013
Iraq,-,Delaware,2013
Libya,-,Delaware,2013
Mali,-,Delaware,2013
Somalia,D,Delaware,2013
South Sudan,-,Delaware,2013
Sudan,3,Delaware,2013
Syria,D,Delaware,2013
Yemen,4,Delaware,2013
Egypt,7,District of Columbia,2013
Iran,21,District of Columbia,2013
Iraq,13,District of Columbia,2013
Libya,D,District of Columbia,2013
Mali,3,District of Columbia,2013
Somalia,D,District of Columbia,2013
South Sudan,D,District of Columbia,2013
Sudan,6,District of Columbia,2013
Syria,6,District of Columbia,2013
Yemen,-,District of Columbia,2013
Egypt,339,Florida,2013
Iran,247,Florida,2013
Iraq,127,Florida,2013
Libya,8,Florida,2013
Mali,4,Florida,2013
Somalia,6,Florida,2013
South Sudan,3,Florida,2013
Sudan,38,Florida,2013
Syria,145,Florida,2013
Yemen,4,Florida,2013
Egypt,86,Georgia,2013
Iran,268,Georgia,2013
Iraq,113,Georgia,2013
Libya,7,Georgia,2013
Mali,18,Georgia,2013
